,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hasaki,75,JP,1560474025,64,35.73,140.83,77.0,13.869004998000001
1,Souillac,98,FR,1560474026,100,45.6,-0.6,57.992,2.23693629
2,Farafangana,0,MG,1560474026,96,-22.82,47.83,59.69840000000006,3.1540801688999998
3,Avarua,98,CK,1560474027,83,-21.21,-159.78,78.80000000000001,16.105941288
4,Road Town,40,VG,1560474026,69,18.42,-64.62,82.4,8.052970644
5,Busselton,86,AU,1560474027,89,-33.64,115.35,55.004000000000055,14.338761618900001
6,Ingham,60,AU,1560474029,82,-18.65,146.16,69.95840000000004,4.115962773600001
7,Whitehorse,75,CA,1560474025,45,60.72,-135.06,66.2,5.816034354
8,Ushuaia,0,AR,1560473945,74,-54.81,-68.31,30.2,3.355404435
9,Abalak,25,NE,1560474033,28,15.46,6.28,95.15840000000004,6.2857909749
10,Cape Town,0,ZA,1560474033,86,-33.93,18.42,46.99400000000007,4.6975662090000005
11,Bambous Virieux,4,MU,1560474033,70,-20.34,57.76,71.00600000000003,1.9908732981000001
12,Sao Filipe,100,CV,1560474033,87,14.9,-24.5,73.01840000000001,14.092698627
13,Puri,20,ID,1560474035,74,-7.54,112.45,82.4,11.4978525306
14,Jamame,38,SO,1560474036,85,0.07,42.75,76.79840000000007,8.455619176199999
15,Merritt Island,75,US,1560474040,88,28.54,-80.67,77.0,4.6975662090000005
16,Rikitea,43,PF,1560474040,71,-23.12,-134.97,69.7784,21.8996062791
17,Sao Jose da Coroa Grande,5,BR,1560474044,95,-8.9,-35.15,72.83840000000009,4.2725483139
18,Taltal,100,CL,1560474045,63,-25.41,-70.49,60.238400000000084,7.4937365715
19,Beloha,0,MG,1560474045,89,-25.17,45.06,63.65840000000004,4.2725483139
20,Labuhan,69,ID,1560474045,88,-2.54,115.51,77.51840000000001,0.5816034354
21,Hermanus,1,ZA,1560474045,77,-34.42,19.24,46.99400000000007,2.9303865399
22,Richards Bay,93,ZA,1560474046,72,-28.77,32.06,63.83840000000008,9.1938081519
23,Mataura,100,NZ,1560474046,84,-46.19,168.86,53.99600000000005,2.5724767335
