,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaanaaq,0,GL,1541370948,100,77.48,-69.36,-0.12819999999998544,11.1175733613
1,Cabimas,44,VE,1541370829,89,10.39,-71.44,82.80680000000001,2.7290622738
2,Punta Arenas,40,CL,1541368800,57,-53.16,-70.91,50.0,20.803507497000002
3,Rikitea,8,PF,1541370949,99,-23.12,-134.97,74.2568,20.065318521300004
4,Kota Belud,75,MY,1541368800,88,6.35,116.43,75.2,5.816034354
5,Pedernales,36,EC,1541370949,82,0.07,-80.05,75.60679999999999,7.0910880393
6,Waipawa,0,NZ,1541370949,56,-39.94,176.59,63.14180000000008,19.0586971908
7,Vila Franca do Campo,40,PT,1541368800,67,37.72,-25.43,62.6,12.750536853
8,George Town,75,MY,1541368800,94,5.42,100.33,77.0,3.355404435
9,Rio Verde de Mato Grosso,36,BR,1541370950,88,-18.92,-54.84,73.80680000000001,2.3935218303
10,Sorland,92,NO,1541370953,96,67.67,12.69,49.5068,36.283106623799995
11,Alice Springs,90,AU,1541368800,100,-23.7,133.88,68.0,10.289906934
12,Saskylakh,48,RU,1541370685,56,71.97,114.09,-11.783199999999972,3.1764495318
13,Makakilo City,40,US,1541369460,59,21.35,-158.09,86.0,12.9071223933
14,Vaini,12,IN,1541370959,92,15.34,74.49,66.78680000000004,2.3935218303
15,Bad Kreuznach,75,DE,1541370000,93,49.84,7.87,51.8,19.461345722999997
16,Colac,100,AU,1541370960,93,-38.34,143.59,63.18680000000004,6.4200071523
17,Bluff,0,AU,1541370961,44,-23.58,149.07,86.31680000000009,7.4266284828
18,Castro,88,CL,1541370696,91,-42.48,-73.76,46.221800000000016,13.354509651299999
19,Upernavik,36,GL,1541370673,100,72.79,-56.15,14.856799999999996,10.8938797323
20,Albany,75,US,1541368500,49,42.65,-73.75,46.94000000000002,3.355404435
21,Bredasdorp,36,ZA,1541368800,93,-34.53,20.04,57.2,5.816034354
